,,song,year,artist,genre,lyrics,video_path
Country,104799,holy,2016,florida-georgia-line,Country,When the sun had left and the winter came And the sky fall could only bring the rain I sat in darkness all broken hearted I couldn't find a day I didn't feel alone I never meant to cry started losing hope But somehow baby you broke through and saved me You're an angel tell me you're never leaving 'Cause you're the first thing I know I can believe in You're holy holy holy holy I'm high on loving you high on loving you You're holy holy holy holy I'm high on loving you high on loving you You made the brightest days from the darkest nights You're the river bank where I was baptized Cleanse all the demons That were killing my freedom Let me lay you down give me to ya Get you singing babe hallelujah We'll be touching we'll be touching heaven You're an angel tell me you're never leaving 'Cause you're the first thing I know I can believe in You're holy holy holy holy I'm high on loving you high on loving you You're holy holy holy holy I'm high on loving you high on loving you I don't need the stars cause you shine for me Like fire in my veins you're my ecstasy You're my ecstasy You're holy holy holy holy I'm high on loving you high on loving you You're holy holy holy holy I'm high on loving you high on loving you You're the healing hands where it used to hurt You're my saving grace you're my kind of church You're holy,https://www.youtube.com/watch?v=zXDAYlhdkyg
Country,96856,temporary-home,2009,carrie-underwood,Country,"Little boy six years old A little too used to bein alone Another new mom and dad another school Another house that'll never be home When people ask him how he likes this place He looks up and says with a smile upon his face ""This is my temporary home It's not where I belong Windows in rooms that I'm passin through This is just a stop on the way to where I'm going I'm not afraid because I know this is my Temporary home "" Young mom on her own She needs a little help got nowhere to go She's lookin for a job lookin for a way out 'Cause a half way house will never be a home At night she whispers to her baby girl Someday we'll find a place here in this world ""This is our temporary home It's not where we belong Windows in rooms that we're passin through This is just a stop on the way to where we're going I'm not afraid because I know this is our Temporary Home "" Old man hospital bed The room is filled with people he loves And he whispers don't cry for me I'll see you all someday He looks up and says ""I can see God's face"" ""This is my temporary Home It's not where I belong Windows in rooms that I'm passin through This was just a stop on the way to where I'm going I'm not afraid because I know this was My temporary home "" This is our temporary home",https://www.youtube.com/watch?v=LraOiHUltak
Country,200403,pistol,2007,dustin-kensrue,Country,Love how you curse when I wake you up Sweetly demand that I fill your cup With the smile of your cool gunpowder glare Honey you lay me bare You're the girl of my dreams And a pistol it seems but you shoot me straight and true Time to lay down my bets Oh I put all my money on you When I'm in the dark girl you bring me light It seems like you're almost always right So keep boxing my ears when I sew them shut Baby you sure are tough You're the girl of my dreams And a pistol it seems but you shoot me straight and true Time to lay down my fears Honey I feel so safe around you If the tiller man taught me anything It's that a hard headed woman is what I need To help me to always do my best Baby my life is blessed You're the girl of my dreams Darling please wear this ring You're an angel through and through Time to lay down my life Honey I'd do it gladly for you Time to lay down my life Honey I'd do it gladly for you,https://www.youtube.com/watch?v=72D49j0RcPs
Country,81046,summer,2016,cassadee-pope,Country,Verse 1 Rolled in as wild and free As a clear water beach at seventeen memory Eyes blue as the July sky Sent shivers down my spine Everytime that he smiled at me Pre Chorus The way he took off that white t shirt The way he looked walking out of that water And it just got hotter and hotter Chorus The tan line's fading on my sun kissed skin Hits me like a wave when I think about it Sublime on the boom box Our bare feet in the sand Makin out on the boardwalk My heart on fire in his hands He drove away the first of September But I remember Yeah I remember He talked like And he walked like And he looked like And he burned like summer summer oh He burned like summer summer oh Verse 2 His kiss was a sweet salt breeze Had a hold on me like the moon pulls the tide Took me up in the Ferris wheel And I swear it feels like I never came down from the high Pre Chorus I know we never said forever But something about it felt like it would never end Chorus The tan line's fading on my sun kissed skin Hits me like a wave when I think about it Sublime on the boom box Our bare feet in the sand Makin out on the boardwalk My heart on fire in his hands He drove away the first of September But I remember Yeah I remember He talked like And he walked like And he looked like And he burned like summer summer oh Bottle rocket sparks in the Florida sky Summer summer Something that bright's gotta burn out sometime Chorus The tan line's fading on my sun kissed skin Hits me like a wave when I think about it Sublime on the boom box Our bare feet in the sand Makin out on the boardwalk My heart on fire in his hands He drove away the first of September But I remember Yeah I remember He talked like And he walked like And he looked like And he burned like summer summer oh Yeah He burned like summer summer He burned like summer,https://www.youtube.com/watch?v=4w5K75KPIcQ
Country,78479,little-moments,2010,brad-paisley,Country,Well I'll never forget the first time that I heard That pretty mouth say that dirty word And I can't even remember now what she backed my truck into But she covered her mouth and her face got red And she just looked so darn cute That I couldn't even act like I was mad Yeah I live for little moments like that Well that's just like last year on my birthday She lost all track of time and burnt the cake And every smoke detector in the house was goin off And she was just about to cry until I took her in my arms And I tried not to let her see me laugh Yeah I live for little moments like that I know she's not perfect but she tries so hard for me And I thank God that she isn't cause how boring would that be It's the little imperfections it's the sudden change in plans When she misreads the directions and we're lost but holding hands Yeah I live for little moments like that When she's layin on my shoulder on the sofa in the dark And about the time she falls asleep so does my right arm And I want so bad to move it cause it's tinglin and it's numb But she looks so much like an angel that I don't wanna wake her up Yeah I live for little moments When she steals my heart again and doesn't even know it Yeah I live for little moments like that,https://www.youtube.com/watch?v=vBErCVNP6rM
Country,87548,small-town-southern-man,2008,alan-jackson,Country,Born the middle son Of a farmer And a small town Southern man Like his daddy's Daddy before him Brought up Workin on the land Fell in love With a small town woman And they married up And settled down Natural way of life If you're lucky For a small town Southern man First there came Four pretty daughters For this small town Southern man Then a few years Later came another A boy he wasn't planned Seven people Living all together In a house built With his own hands Little words with love And understanding From a small town Southern man And he bowed His head to Jesus And he stood For Uncle Sam And he only loved One woman He was always proud Of what he had He said His greatest contribution Is the ones You leave behind Raised on the ways And gentle kindness Of a small town Southern man Raised on the ways And gentle kindness Of a small town Southern man Callous hands Told the story For this small town Southern man He gave it all To keep it all together And keep his family On his land Like his daddy Years wore out his body Made it hard Just to walk And stand You can break the back But you can't break The spirit Of a small town Southern man And he bowed His head to Jesus And he stood For Uncle Sam And he only loved One woman He was always proud Of what he had He said His greatest contribution Is the ones You leave behind Raised on the ways And gentle kindness Of a small town Southern man Raised on the ways And gentle kindness Of a small town Southern man Finally death Came callin' For this small town Southern man He said it's alright 'Cause I see angels And they got me By the hand Don't you cry And don't you worry I'm blessed And I know I am 'Cause God Has a place in heaven For a small town Southern man And he bowed His head to Jesus And he stood For Uncle Sam And he only loved One woman He was always proud Of what he had He said His greatest contribution Is the ones You leave behind Raised on the ways And gentle kindness Of a small town Southern man Raised on the ways And gentle kindness Of a small town Southern man,https://www.youtube.com/watch?v=5zwq9RCeISY
Country,25270,smoke-a-little-smoke,2009,eric-church,Country,Turn the quiet up turn the noise down Let this ol world just spin around I wanna feel it swing wanna feel it sway And put some feel good in my soul Drink a little drink smoke a little smoke Wanna little more right and a little less left Little more right now a little less what's next Act like tomorrow's ten years away And just kick back and let the feelin flow Drink a little drink smoke a little smoke yeah I set my sails for a new direction But the wind got in my way I changed my course but my definition of change Just ain't the same I'm gonna sit right here stay away from there I'm gon make pretend I just don't care I could get up go get her back Or maybe I'll just let her go Drink a little drink smoke a little smoke yeah Yeah go get her back oh Drink a little drink smoke a little smoke Drink a little drink smoke a little smoke I kick back give the blues spin Break out the wine forget again Dig down deep find my stash Light it up take me back I kick back give the blues spin Break out the wine just forget again Dig down deep strike my stash Light it up memory crash Oh no I don't know baby my take on life Maybe break out that old rock and roll Drink a little drink smoke a little smoke Gon drink a little drink smoke a little smoke yea,https://www.youtube.com/watch?v=XxWjtWONuGc
Country,77702,home,2020,dolly-parton,Country,Lookin outta my windowpane Tears minglin with the rain I'm so lonesome I could cry just like old Hank Starin down on the city street Feelin empty and incomplete There's a place I need to be to fill my tank A place I can go where I can be free Where I can be happy and I just be me Ho o ome Where the warm wind's blowin and the river's flowin along Like a lazy bum in the midday sun And I've gone fishin with my pole at the fishin hole Where I can lay down my heavy load And know that I am always welcome home I left home I was seventeen I had a lot of ambitious dreams Seen a lot of those dreams come true I've had good luck I ain't complain that's for sure I got a lot to be thankful for One of those things is a magic door that opens up Back to the time when I was a kid To the sounds of crickets and the katydids It's called ho o ome On the front porch swingin' And the fern pots hangin' Ho o ome With the church bells ringin' And voices singin' Those old songs that mend my mind like a stitch in time Where the tea is sweet and the love complete Oh me I wanna go ho o ome I often think about where I have been Where I am goin and that's about when I think about Ho o ome Where the soul finds comfort and the heart finds pleasure Ho o ome Where the depths of love is hard to measure It's ho o ome I hear you callin I hear you callin' I'll never be lost as long as I know There's place like that where I can go Where I can restore my weary soul On the mountain slopes in the soft blue smoke Of ho o ome Home sweeet home Ho o ome Back to the hills with the whippoorwills Of ho o ome With the fireflies blinkin and the night stars winkin' Ho o ome Honeysuckle vine and Muscadine wine At ho o ome Where the ginseng grows in the shady groves of ho o ome With family and friends and joy that never ends Ho o ome There's no place like it no place like it Ho ome,https://www.youtube.com/watch?v=7-ifWeaSdrc
Country,174042,thats-what-i-love-about-sunday,2005,craig-morgan,Country,Raymond's in his Sunday best He's usually up to his chest in oil and grease There's the martins walking in With that mean little freckle faced kid Who broke a window last week Sweet miss Betty likes to sing off key In the pew behind me That's what I love about Sunday Sing along as the choir sways Every verse of amazing grace And then we shake the preacher's hand Go home into your blue jeans Have some chicken and some baked beans Pick a backyard football team Not do much of anything That's what I love about Sunday I stroll to the end of the drive Pick up the Sunday times grab a coffee cup Looks like sally and rob finally tied the knot Well it's about time It's thirty five cents off a ground round Baby cut that coupon out That's what I love about Sunday Cat nappin on a porch swing You curled up next to me The smell of jasmine wakes us up Take a walk down a back road Tackle box and a cane pole Carve our names in that white oak Steal a kiss as the sun fades That's what I love about Sunday New believers getting baptized Mama's hands raised up high Havin a hallelujah good time A smile on everybody's face That's what I love about Sunday That's what I love about Sunday,https://www.youtube.com/watch?v=JYBg5yx325c
Country,45207,say-you-do,2014,dierks-bentley,Country,Don't worry about the damage done Just let those words roll off your tongue Even if you're lyin' If you really don't mean it I don't care If you need a little buzz to get you there Then baby I'm buyin' Well couldn't you Say you do Say you might For tonight Have a heart Bend the truth Even if you don't Couldn't you Mess me up Get in my head Steal my t shirt Wreck my bed All night long Like you used to Even if you don't Couldn't you Say you do Yeah baby I'm begging you to lead me on Say it feels good to be back in my arms And then don't call me I dont mind a little smoke gettin in my eyes Baby take your hands take your lies And lay em on me Well couldn't you Say you do Say you might For tonight Have a heart Bend the truth Even if you don't Couldn't you Mess me up Get in my head Steal my t shirt Wreck my bed All night long Like you used to Even if you don't Couldn't you Say you do Well don't worry about the damage done Just let those words roll of your tongue Even if you're lyin' Well couldn't you Say you do Say you might For tonight Have a heart Bend the truth Even if you don't Couldn't you Mess me up Get in my head Steal my t shirt Wreck my bed All night long Like you used to Even if you don't Couldn't you Say you do Say you do Just say you do Girl I'm begging you Just say you do,https://www.youtube.com/watch?v=4xpr1fLqEj4
Country,163197,friends,2013,blake-shelton,Country,Oh There's a moment in this journey that I gave up My boots just couldn't walk another mile And that cloud above me had no silver lining I couldn't buy a break with my last dime Oh but when I saw you standing in the corner I'd never thought that you would have my back But then we rolled in like the thunder and the lightning Threw some punches then we had a laugh Just some roughed up desperados Hanging tough through thick and thin Kicking up dust wherever we go I can see that you and me are gonna be friends Who'd thought we'd wind up here together It's crazy that we're standing side by side Fighting just like two birds of a feather Who's gonna tell us now that we can't fly Just some roughed up desperados Hanging tough through thick and thin Kicking up dust wherever we go And I can see that you and me are gonna be friends To the end you and me are gonna be friends Yeah Here we go Hey hey you and me Different as different can be You like to rock I like to roll You take the high I'll take the low Woah woah oh woah oh Just some roughed up desperadoes Hanging tough through thick and thin Kicking up dust wherever we go I can see that you and me are gonna be friends To the end you and me are gonna be friends And I can see that you and me are gonna be friends yeah,https://www.youtube.com/watch?v=Z2tzzDtDw-k
Country,87295,too-much-of-a-good-thing,2015,alan-jackson,Country,Smiles in the morning as warm as sunshine Kisses when I lay down at night And two loving arms to console me I should be scared it's so right But too much of a good thing is a good thing Feelings like this can't be wrong And too much of a good thing is a good thing And we've got a good thing going on You look in my eyes and see my thinking I know when you're happy and when you're sad Some would say it's too perfect But I don't think what we have is so bad Cause too much of a good thing is a good thing Feelings like this can't be wrong And too much of a good thing is a good thing And we've got a good thing going on,https://www.youtube.com/watch?v=VezWYCXVXAE
Country,133288,wanna-be-that-song,2015,brett-eldredge,Country,The radio and a sundress Making my world all a mess Back corner of a cornfield Bottle tops and a true spear Pull the lever lay the seat back laughin' You slippin off your shoes While the dashboard speakers sing every word of that moon I wanna be that song that gets you high Makes you dance makes you fall That melody rewinds years Once disappear makes time stall Wanna be those words that fill you up Pull your windows down and keeps you young Makes you believe you're right where you belong I wanna be that song I wanna be wanna be wanna be wanna be that song Oh I wanna be I wanna I wanna I wanna stand with you in the third row Window booth at a bar Back pew on a Sunday pourin out your heart When the bleachers are crowded When you're sittin all alone When the rain is pourin and you need something to take you home Let me be that song that gets you high Makes you dance makes you fall That melody rewinds years Once disappear makes time stall Wanna be those words that fill you up Pull your windows down and keeps you young Makes you believe you're right where you belong I wanna be that song I wanna be wanna be wanna be wanna be that song Oh I wanna be I wanna I wanna When you're searching the horizon When your eyes look back When you're standing in the moment Every life has a soundtrack Oh I wanna be I wanna be oh I wanna be I wanna be that song that gets you high Makes you dance makes you fall That melody rewinds years Once disappear makes time stall Wanna be those words that fill you up Pull your windows down and keeps you young Makes you believe you're right where you belong I wanna be that song When the highway's calling When the bottle's dry When the sky is falling and you're asking yourself why Oh oh I wanna be yeah oh,https://www.youtube.com/watch?v=n-RnmA8j0ZQ
Country,71840,baby-be-my-love-song,2015,easton-corbin,Country,So here we are here all alone The band quit playin everyone went home But the stars are still out and you're so damn hot And I ain't ready for the music to stop Baby be my love song Baby be my all night long Be the buzz in my Dixie cup My steady rockin 'til the sun comes up You know I really love to watch you dance Baby be my oh hell yeah I feel a little sing along sing along comin on Baby be my love song Girl fast or slow oh three quarter time It don't have to make sense And it don't have to rhyme As long as it's you Babe I'm all in And when it's over Just play it again Baby be my love song Baby be my all night long Be the buzz in my Dixie cup My steady rockin 'til the sun comes up You know I really love to watch you dance Baby be my oh hell yeah I feel a little sing along sing along comin on Baby be my love song Baby be my melody My little feel good that gets to me Don't be shy baby set it free Crank it up hit me way down deep Baby be my love song Baby be my all night long Be the buzz in my Dixie cup My steady rockin 'til the sun comes up You know I really love to watch you dance Baby be my oh hell yeah I feel a little sing along sing along comin on I feel a little sing along sing along comin on Baby be my love song Baby be my love song oh yeah Be my love song,https://www.youtube.com/watch?v=6VQJHSnGIXk
Country,209116,nothing,1990,dwight-yoakam,Country,I couldn't change your heart I couldn't change your mind So I just had to learn to live with This empty life you left behind You didn't try to hear You didn't try to see No you just stared right Through the teardrops Like there was nothing left of me Nothing but sorrow Nothing but pain Nothing but memories that Whisper your name Nothing but sadness Nothing but fear Nothing but silence is heard Around here Bridges were burned oh Lessons were learned Promises made that were broken Tender lies softly spoken You didn't try to hear You didn't try to see You just stared right Through the teardrops Like there was nothing left of me Nothing but sorrow nothing but sorrow Nothing but pain nothing Nothing but memories that Whisper your name Nothing but sadness nothing but sadness Nothing but fear nothing Nothing but silence is heard Around here heard around here Nothing but sorrow nothing but sorrow Nothing but pain nothing Nothing but memories that Whisper your name whisper your name Nothing but sadness nothing but sadness Nothing but fear nothing Nothing but silence is heard Around here heard around here I couldn't change your heart,https://www.youtube.com/watch?v=UeuRMOkaohY
Country,87343,precious-memories,2006,alan-jackson,Country,Precious memories unseen angels Sent from somewhere to my soul How they linger ever near me And the sacred past unfolds Precious memories how they linger How they ever flood my soul In the stillness of the midnight Precious sacred scenes unfold Precious father loving mother Fly across the lonely years And old home scenes of my childhood In fond memory appears Precious memories how they linger How they ever flood my soul In the stillness of the midnight Precious sacred scenes unfold I remember Mother praying Father too on bended knee The sun is sinking shadows falling But their prayers still follow me Precious memories how they linger How they ever flood my soul In the stillness of the midnight Precious sacred scenes unfold Precious memories fill my soul,https://www.youtube.com/watch?v=dhGOFC3kPDc
Electronic,11178,robot-rock,2005,daft-punk,Electronic,Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock Rock Robot Rock,https://www.youtube.com/watch?v=sFZjqVnWBhc
Electronic,212848,wrong,1996,everything-but-the-girl,Electronic,"I wanted everything for a little while Why shouldn't I I wanted to know what it was like But I pushed you too far I know And you started laying down the law 'Til I didn't love you any more Now you can pull a little bit There's a little give and take And love will stretch a little bit But finally it's gonna break Wherever you go I will follow you 'Cause I was wrong Wherever you go I will follow you 'Cause I was wrong So there we both were in that little house Just hanging out You didn't know what you were about You turned to me as you were Threading daisies on a chain And you said ""It's decision time again"" Now you can pull a little bit There's a little give and take And love will stretch a little bit But finally it's gonna break Wherever you go I will follow you 'Cause I was wrong Wherever you go I will follow you 'Cause I was wrong And the ground's gonna swallow you I was wrong I was wrong I was wrong I was wrong I wanted everything for a little while Why shouldn't I I wanted to know what he was like Now you can pull a little bit There's a little give and take And love will stretch a little bit But finally it's gonna break Wherever you go I will follow you 'Cause I was wrong Wherever you go I will follow you 'Cause I was wrong Wherever you go I will follow you 'Cause I was wrong Wherever you go I will follow you 'Cause I was wrong",https://www.youtube.com/watch?v=Ih7GCa3Hpww
