song_x,year_x,artist_x,genre_x,video_length,scene_count,frame_count,mot_int_mean,mot_int_std,lighting_met,light_mean,sat_met,sat_mean,col_en,colness,most_predominant_topic
holy,2016,florida-georgia-line,Country,228,41,5495,0.105866805,0.077596343,320561.0835,66.4924776,-1326006.924,101.3051017,191.8797562,27.11117974,topic_12
temporary-home,2009,carrie-underwood,Country,300,97,9014,0.14121445,0.080577272,-300417.6262,87.13971573,-203915.217,185.3347503,385.4697742,31.9831789,topic_14
pistol,2007,dustin-kensrue,Country,251,82,7556,0.145897775,0.115436171,158338.6564,55.63263952,-469835.9853,163.4628688,284.1705915,2.69055585,topic_17
summer,2016,cassadee-pope,Country,192,110,4619,0.154959617,0.086913589,428540.1362,72.06603555,-1441264.88,114.0645092,231.4963467,27.66916476,topic_12
little-moments,2010,brad-paisley,Country,258,85,7741,0.136988071,0.124696277,335066.7685,114.3924277,591168.8756,172.2906434,411.3847332,61.56315945,topic_15
small-town-southern-man,2008,alan-jackson,Country,277,110,8332,0.168214823,0.064408385,82092.06373,83.32132123,-696561.2738,129.6492736,246.5913448,31.17101519,topic_21
smoke-a-little-smoke,2009,eric-church,Country,190,138,4571,0.242096517,0.101138323,380051.8224,86.85492961,-748659.7591,132.3254747,291.1901809,34.46110058,topic_21
home,2020,dolly-parton,Country,205,118,4928,0.147895648,0.08315967,-293907.0937,86.95540455,-949462.8864,146.4632245,266.822133,39.08527648,topic_21
thats-what-i-love-about-sunday,2005,craig-morgan,Country,190,1,5710,0.005592101,0.014623594,-12451,7.784265046,-1192537,14.11539352,52.39621235,19.4732764,topic_12
say-you-do,2014,dierks-bentley,Country,225,103,5423,0.123063421,0.089188593,-366403.8691,60.76971912,-1632495.538,130.5001215,222.3468014,14.08243519,topic_24
friends,2013,blake-shelton,Country,186,115,4483,0.131002799,0.070029327,-668516.4024,88.6147069,-478412.0939,149.9423449,344.8282336,36.28440102,topic_19
too-much-of-a-good-thing,2015,alan-jackson,Country,232,85,6978,0.180673469,0.098661436,52617.27228,83.41417954,-226593.4845,154.1966769,366.0867832,34.01590727,topic_23
wanna-be-that-song,2015,brett-eldredge,Country,265,112,6384,0.171312361,0.106735445,98472.86341,70.74934357,-1575404.439,164.2022396,475.3161343,14.83204813,topic_5
baby-be-my-love-song,2015,easton-corbin,Country,210,125,5051,0.113620239,0.058622646,-425907.9467,59.94510981,-1396797.598,122.4114642,194.7817906,24.65877076,topic_12
nothing,1990,dwight-yoakam,Country,232,73,6986,0.17131219,0.105232094,-179161.1028,89.67882868,-1082682.257,185.5131394,688.1303502,20.21725745,topic_12
precious-memories,2006,alan-jackson,Country,260,91,7804,0.060950835,0.034352376,-567917.6618,60.40494548,-415679.4617,134.9315992,200.4625049,15.96942207,topic_15
confession,2014,florida-georgia-line,Country,211,80,5087,0.095284288,0.06014298,-935628.1818,49.59702866,-1388619.345,137.0927658,186.4422191,13.42037178,topic_1
long-way-to-go,2012,alan-jackson,Country,250,187,6020,0.236171988,0.070211273,203137.9993,92.55891258,-1219723.798,145.4117116,343.7345127,29.83876248,topic_7
something-in-the-water,2014,carrie-underwood,Country,238,101,5735,0.091827017,0.057774083,-880318.7723,64.00842216,-1260023.769,189.6645154,15945.35308,12.93540493,topic_13
tailgate-town,2016,granger-smith,Country,341,129,8185,0.119025667,0.089845534,148931.3363,69.67584778,-1516052.229,143.9968852,278.7287416,23.38258012,topic_24
all-i-can-be-is-a-sweet-memory,1991,collin-raye,Country,190,28,5709,0.131772415,0.089600241,44349.58592,90.04770412,-290619.9981,163.3871481,323.1125521,29.72806883,topic_13
nobody-but-me,2004,blake-shelton,Country,156,56,4699,0.167300886,0.113984384,386440.8621,63.57015147,-727475.8429,106.38364,248.2313546,29.08123155,topic_0
good-time,2008,alan-jackson,Country,306,1,7669,0.008901085,2.22E-05,-394098,77.7777392,-720974,171.9194599,232.7592687,51.49055855,topic_0
gentle-on-my-mind,2015,the-band-perry,Country,259,144,6219,0.140799118,0.096728874,68989.54559,60.19532952,-1560207.699,128.0425643,218.4390372,20.07481081,topic_13
of-crows-and-crowns,2015,dustin-kensrue,Country,209,18,6292,0.142736807,0.16994061,287455.126,48.75856451,0,240.6332164,inf,0,topic_21
it-only-hurts-when-i-cry,2004,dwight-yoakam,Country,154,70,4648,0.208215731,0.102991998,153033.4492,67.2871824,-1391668.203,237.2625074,809.091853,2.23795854,topic_7
homeboy,2011,eric-church,Country,271,49,6507,0.139583265,0.112291831,3243.109421,74.36576367,-1361163.031,163.9171511,,26.20919437,topic_24
long-white-cadillac,2004,dwight-yoakam,Country,317,62,9537,0.154549524,0.081790962,-117804.5339,34.05514785,-1173639.99,127.8510377,173.871491,2.008393345,topic_26
cruise-remix,2013,florida-georgia-line,Country,215,133,5176,0.143104542,0.081875015,-9367.119204,57.37896475,-1245118.205,99.44359993,168.3733075,21.5567166,topic_27
sharp-dressed-man,2002,brad-paisley,Country,222,197,6662,0.321333986,0.105344748,478968.1288,84.71369735,-371616.3062,163.379235,366.0984536,38.51681246,topic_12
wal-mart-parking-lot,2010,chris-cagle,Country,214,150,5365,0.196809644,0.094576099,-316482.1286,98.00049703,326047.0391,186.3094476,563.5424618,29.57335872,topic_4
black,2016,dierks-bentley,Country,223,153,5367,0.183065084,0.112928919,148765.3989,57.35377188,-1397144.249,178.398876,371.3744309,16.63187732,topic_19
every-time-i-hear-that-song,2016,blake-shelton,Country,220,128,5282,0.142325523,0.084000701,-547881.6738,62.03141543,-770852.7175,148.9262163,239.6797021,25.29311452,topic_19
jezebel,2001,chely-wright,Country,184,164,5549,0.192015813,0.096397768,-193170.1964,116.2630879,1211014.267,167.2010092,369.6114831,56.13887674,topic_25
gone-country,1989,alan-jackson,Country,277,80,8313,0.151681796,0.075374349,-143433.2773,103.4038324,-117170.5882,157.4381417,320.1411555,52.2041668,topic_29
think-of-you,2015,chris-young,Country,220,84,5296,0.087028298,0.056810649,-656841.3386,58.0198756,-681370.9181,113.3411883,,29.4146303,topic_7
anyone-else,1998,collin-raye,Country,224,25,6735,0.104908599,0.082966962,-50338.57001,106.1795692,667692.1244,163.9652485,350.8507868,37.16751949,topic_4
neon-light,2014,blake-shelton,Country,225,120,5424,0.152034852,0.097596707,-518872.3619,86.82909224,-519064.2494,172.0519088,428.8082976,31.24678137,topic_10
miss-me-baby,2005,chris-cagle,Country,230,129,6925,0.195149997,0.109097884,555724.9015,126.5773967,1051176.159,123.9527963,,67.91367959,topic_4
chainsaw,2013,the-band-perry,Country,295,182,7094,0.173685564,0.086027997,134961.9047,70.00945342,-1691051.119,161.3714843,470.4687936,17.78423276,topic_10
