,song,year,artist,genre,lyrics,video_path,most_predominant_topic
328,nobody-but-me,2004,blake-shelton,Country,Don't waste your time lookin over your shoulder Those loves from the past ain't gettin no closer When I look in my future you're all I can see So honey don't go lovin on nobody but me Nobody but me gonna love you like you oughta be loved darlin' Nobody but me gonna cry if you ever leave Now you can do what you want to but I'm askin pretty please Don't go lovin on nobody but me I took my time to tell you how I feel Just because I took so long don't mean that it isn't real I ain't got no diamond but I'm down on my knees honey Don't go lovin on nobody but me Nobody but me gonna love you like you oughta be loved darlin' Nobody but me gonna cry if you ever leave Now you can do what you want to but I'm askin pretty please honey Don't go lovin on nobody but me Nobody but me gonna love you like you oughta be loved darlin' Nobody but me gonna cry if you ever leave Now you can do what you want to but I'm askin pretty please honey Don't go lovin on nobody but me Don't go lovin on nobody but me,https://www.youtube.com/watch?v=g28aHREt_bE,topic_0
329,good-time,2008,alan-jackson,Country,Good time Work work all week long Punchin that clock from dusk till dawn Countin the days till Friday night That's when all the conditions are right For a good time I need a good time Yeah I've been workin all week And I'm tired and I don't wanna sleep I wanna have fun It's time for a good time I cashed my check cleaned my truck Put on my hat forgot about work Sun goin down head across town Pick up my baby and turn it around Good time Oh I need a good time Yeah I've been workin all week And I'm tired and I don't wanna sleep I wanna have fun It's time for a good time Hey Pig in the ground beer on ice Just like ol Hank taught us about Singin along Bocephus songs Rowdy friends all night long Good time Lord we're having a good time Yeah I've been workin all week And I'm tired and I don't wanna sleep I wanna have fun It's time for a good time Woah Heel toe dosey doe Scootin our boots swingin doors B n D Kix and Dunn Honkin tonk heaven double shotgun Good time Lord we're havin a good time Yeah I've been workin all week And I'm tired and I don't wanna sleep I wanna have fun It's time for a good time Shot of Tequila beer on tap Sweet southern woman set on my lap G with an O O with an D T with n I and an M and n E And a good time Shew good time I've been workin all week And I'm tired and I don't wanna sleep I wanna have fun It's time for a good time Ah turn it up now A Shot of Tequila Beer on tap A good looking woman To sit on my lap A G with an O an O with a D A T with an I an M with an E That spells good time A good time Yeah I've been workin all week And I'm tired and I don't wanna sleep I wanna have fun It's time for a good time Twelve o'clock two o'clock three o'clock four Five o'clock we know were that's gonna go Closing the door shuttin em down Head for that Waffle House way across town Good time Oh we're havin a good time Oh I've been workin all week And I'm tired and I don't wanna sleep I wanna have fun It's time for a good time Yeah I've been workin all week And I'm tired and I don't wanna sleep I wanna have fun It's time for a good time Yeah I've been workin all week And I'm tired and I don't wanna sleep I wanna have fun It's time for a good time Oh yeah a good time I need a good time Yeah a good time,https://www.youtube.com/watch?v=c31rGSLTARA,topic_0
323,confession,2014,florida-georgia-line,Country,Rusty barbed wire lines these fields Gravel dust behind the wheels Drifting like my mind into the rear view Jet trails cutting cross the sky I'm rolling through the open wide Searching for a song to drink beer to And trying to find a place to disappear to I light up the night and let it burn Lean back and watch the sundown fade Do what I do and life's a little sideways I take a sip and say a prayer Wait for the shooting star and stare Off at the headlights on the highway That guy in the windshield looking back looks just like me But there's a crack in the reflection This is just a moonlight soaked rain and smoke Right hand on a cold one confession Embers in the ashtray glow like memories that won't let go I'm out here trying to get untangled In the darkness on the edge of town A little lost a little found Waiting on a call from an angel I light up the night and let it burn Lean back and watch the sundown fade Do what I do and life's a little sideways I take a sip and say a prayer Wait for the shooting star and stare Off at the headlights on the highway That guy in the windshield looking back looks just like me But there's a crack in the reflection This is just a moonlight soaked rain and smoke Right hand on a cold one confession,https://www.youtube.com/watch?v=vwkYxPpmEPE,topic_1
344,neon-light,2014,blake-shelton,Country,Ever since you left me I've been ridin 'round Crankin up a little country gold heartbreak Cried and dried these tears I don't know how Much more missin you I can take I pray pray prayed for a sign sign sign Now there it is in the window It's about time damn time There's a neon light at the end of the tunnel It ain't all that bright but even though it's subtle It's got me feeling alright go on and make it a double There's a neon light at the end of the tunnel tunnel tunnel I take a shot of I don't care what you doing now' Chase that one with a cold Screw you' When that's done I just might wash it down With a big pitcher of Someone new' That blond blonde blonde At the bar bar bar See if she wants to try and unbreak my heart heart heart There's a neon light at the end of the tunnel It ain't all that bright but even though it's subtle It's got me feeling alright go on and make it a double There's a neon light at the end of the tunnel tunnel tunnel When we were together I thought life was set forever Even though I knew better that the pain would never end They say the night's darkest just before the dawn gets kissed By the daybreak got down on my knees and I Prayed prayed prayed for a sign sign sign Now there it is in the window It's about time damn time There's a neon light at the end of the tunnel It ain't all that bright but even though it's subtle It's got me feeling alright go on and make it a double There's a neon light at the end of the tunnel tunnel tunnel,https://www.youtube.com/watch?v=7yTKBwoVKqE,topic_10
346,chainsaw,2013,the-band-perry,Country,We scratched our names In that oak tree 'Cause I loved you And you loved me A jagged little heart so the whole town knew it Carved in the bark with an arrow through it Well I came out here to see it one more time And I got my chainsaw Oh you know it's got to go it's such a shame y'all But I ain't gonna be happy til those names fall And I'm sittin on a stump Love is shady Love is tragic It's hard to bury the hatchet Holdin a chainsaw I guess all those years They don't mean a thing Now I can't wait To count those rings Nothing left of us but dust and splinters A big pile of wood to keep me warm through the winter 'Cause I don't have you But I got my chainsaw Oh you know it's got to go it's such a shame y'all But I ain't gonna be happy til those names fall And I'm sittin on a stump Love is shady Love is tragic It's hard to bury the hatchet Holdin a chainsaw Just a lil old chainsaw I remember what you said that night That you would love me for the rest of your life We wrote forever with a pocketknife But forever's goin down tonight 'Cause I got my chainsaw It's got to go it's such a shame doll But I ain't gonna be happy til those names fall And I'm sittin on a stump Love is shady Love is tragic It's hard to bury the hatchet Love is shady Love is tragic It's hard to bury the hatchet Holdin a chainsaw Chain chain chain saw Chain chain saw,https://www.youtube.com/watch?v=L7ULNxbDDdY,topic_10
357,you-lie,2010,the-band-perry,Country,It ain't complicated Well I've grown to hate it I never liked the taste of crow but baby I ate it They tried to warn me They said that you were ornery So don't bring me those big brown eyes and tell me that you're sorry Well you might as well throw gasoline on a fire The way you lie You lie like a priceless Persian rug on a rich man's floor And you lie like a cooped up dog basking in the sunshine on my porch Well you lie like a penny in the parking lot at the grocery store It just comes way too natural to you The way you lie That ain't my perfume I bet she had a curfew You told me you were out with the boys and baby I believed you So why you lookin so nervous You know you're gonna deserve this I oughta kill you right now and do the whole wide world a service Well my daddy's gonna straighten you out like a piece of wire like a piece of wire The way you lie You lie like the man with the slick black hair who sold me that Ford And you lie like a pine tree in the back yard after last month's storm Well you lie like a penny in the parking lot at the grocery store It just comes way too natural to you The way you lie Well I'll tell you what I'm gonna do I'm gonna drive until the big ol muddy river I'm gonna park my car in the middle of the mile long bridge And then I'm gonna cry well maybe just a little Then I'm gonna slip off the ring that you put on my finger And give it a big ol fling and watch it sink Down down down There it's gonna lie Until the Lord comes back around Because you lie like a priceless Persian rug on a rich man's floor You lie like a coondog basking in the sunshine on my porch Well you lie like a penny in the parking lot at the grocery store It just comes so dang natural to you The way you lie The way you lie Well it's what you do it's who you are,https://www.youtube.com/watch?v=pCwLsXZnFl4,topic_10
0,holy,2016,florida-georgia-line,Country,When the sun had left and the winter came And the sky fall could only bring the rain I sat in darkness all broken hearted I couldn't find a day I didn't feel alone I never meant to cry started losing hope But somehow baby you broke through and saved me You're an angel tell me you're never leaving 'Cause you're the first thing I know I can believe in You're holy holy holy holy I'm high on loving you high on loving you You're holy holy holy holy I'm high on loving you high on loving you You made the brightest days from the darkest nights You're the river bank where I was baptized Cleanse all the demons That were killing my freedom Let me lay you down give me to ya Get you singing babe hallelujah We'll be touching we'll be touching heaven You're an angel tell me you're never leaving 'Cause you're the first thing I know I can believe in You're holy holy holy holy I'm high on loving you high on loving you You're holy holy holy holy I'm high on loving you high on loving you I don't need the stars cause you shine for me Like fire in my veins you're my ecstasy You're my ecstasy You're holy holy holy holy I'm high on loving you high on loving you You're holy holy holy holy I'm high on loving you high on loving you You're the healing hands where it used to hurt You're my saving grace you're my kind of church You're holy,https://www.youtube.com/watch?v=zXDAYlhdkyg,topic_12
3,summer,2016,cassadee-pope,Country,Verse 1 Rolled in as wild and free As a clear water beach at seventeen memory Eyes blue as the July sky Sent shivers down my spine Everytime that he smiled at me Pre Chorus The way he took off that white t shirt The way he looked walking out of that water And it just got hotter and hotter Chorus The tan line's fading on my sun kissed skin Hits me like a wave when I think about it Sublime on the boom box Our bare feet in the sand Makin out on the boardwalk My heart on fire in his hands He drove away the first of September But I remember Yeah I remember He talked like And he walked like And he looked like And he burned like summer summer oh He burned like summer summer oh Verse 2 His kiss was a sweet salt breeze Had a hold on me like the moon pulls the tide Took me up in the Ferris wheel And I swear it feels like I never came down from the high Pre Chorus I know we never said forever But something about it felt like it would never end Chorus The tan line's fading on my sun kissed skin Hits me like a wave when I think about it Sublime on the boom box Our bare feet in the sand Makin out on the boardwalk My heart on fire in his hands He drove away the first of September But I remember Yeah I remember He talked like And he walked like And he looked like And he burned like summer summer oh Bottle rocket sparks in the Florida sky Summer summer Something that bright's gotta burn out sometime Chorus The tan line's fading on my sun kissed skin Hits me like a wave when I think about it Sublime on the boom box Our bare feet in the sand Makin out on the boardwalk My heart on fire in his hands He drove away the first of September But I remember Yeah I remember He talked like And he walked like And he looked like And he burned like summer summer oh Yeah He burned like summer summer He burned like summer,https://www.youtube.com/watch?v=4w5K75KPIcQ,topic_12
8,thats-what-i-love-about-sunday,2005,craig-morgan,Country,Raymond's in his Sunday best He's usually up to his chest in oil and grease There's the martins walking in With that mean little freckle faced kid Who broke a window last week Sweet miss Betty likes to sing off key In the pew behind me That's what I love about Sunday Sing along as the choir sways Every verse of amazing grace And then we shake the preacher's hand Go home into your blue jeans Have some chicken and some baked beans Pick a backyard football team Not do much of anything That's what I love about Sunday I stroll to the end of the drive Pick up the Sunday times grab a coffee cup Looks like sally and rob finally tied the knot Well it's about time It's thirty five cents off a ground round Baby cut that coupon out That's what I love about Sunday Cat nappin on a porch swing You curled up next to me The smell of jasmine wakes us up Take a walk down a back road Tackle box and a cane pole Carve our names in that white oak Steal a kiss as the sun fades That's what I love about Sunday New believers getting baptized Mama's hands raised up high Havin a hallelujah good time A smile on everybody's face That's what I love about Sunday That's what I love about Sunday,https://www.youtube.com/watch?v=JYBg5yx325c,topic_12
13,baby-be-my-love-song,2015,easton-corbin,Country,So here we are here all alone The band quit playin everyone went home But the stars are still out and you're so damn hot And I ain't ready for the music to stop Baby be my love song Baby be my all night long Be the buzz in my Dixie cup My steady rockin 'til the sun comes up You know I really love to watch you dance Baby be my oh hell yeah I feel a little sing along sing along comin on Baby be my love song Girl fast or slow oh three quarter time It don't have to make sense And it don't have to rhyme As long as it's you Babe I'm all in And when it's over Just play it again Baby be my love song Baby be my all night long Be the buzz in my Dixie cup My steady rockin 'til the sun comes up You know I really love to watch you dance Baby be my oh hell yeah I feel a little sing along sing along comin on Baby be my love song Baby be my melody My little feel good that gets to me Don't be shy baby set it free Crank it up hit me way down deep Baby be my love song Baby be my all night long Be the buzz in my Dixie cup My steady rockin 'til the sun comes up You know I really love to watch you dance Baby be my oh hell yeah I feel a little sing along sing along comin on I feel a little sing along sing along comin on Baby be my love song Baby be my love song oh yeah Be my love song,https://www.youtube.com/watch?v=6VQJHSnGIXk,topic_12
