genre,index,Unnamed: 0,song_id,year,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49
Country,240.32075471698113,45654.84905660377,109181.94339622642,2008.698113207547,0.032191864279579055,0.025973791061197092,0.044061149545963026,0.013425867082835344,0.017480829773177196,0.0022500277069161276,0.029076883744940676,0.020189902204410328,0.002331933154343599,0.027975672085182757,0.009501064684184263,0.01475508521259034,0.03165439332816394,0.020260054144933887,0.010827253200773367,0.026654018280886795,0.02477398382455509,0.02002617945130565,0.02556461310433381,0.023223682592382302,0.039930444066823126,0.026775864818429796,0.006650717361978825,0.004781295481203705,0.017916498522338346,0.022239101122775197,0.004730405754932075,0.004180215814875136,0.010747437525995246,0.030536976426740674,0.004217183322436244,0.03366139031318726,0.015532800319545232,0.0008693713495219104,0.001219466239389846,0.0235322012498217,0.034926016282920164,0.0033137958122876174,0.04929851357140733,0.020868124190439683,0.03737650636235868,0.013601500088399124,0.042424981186618936,0.027231926926550975,0.0001343970174602367,0.013177712296218308,0.027111197386919476,0.030781948864072938,0.021877428893161775,0.008156332968535783
Electronic,310.2105263157895,46663.97129186603,116755.86602870813,2009.7272727272727,0.013695344340422093,0.028333233539844547,0.03729282588150554,0.008158195645432421,0.03929651070365771,0.00397255881332936,0.020517374649337932,0.017400337850383057,0.00998659941453555,0.015571793189460132,0.011845245932559879,0.02485894292214837,0.021354538555147094,0.017865127061053896,0.008601659977567332,0.024072256610594447,0.023600479532427256,0.03680364539808331,0.018903721394662384,0.011613301717203818,0.006898817369792397,0.017330750827550815,0.007233331285056288,0.008487996656977099,0.014826501349526601,0.024252584799799994,0.021226287670103608,0.00639422045696684,0.015423478935617008,0.041582624429299817,0.01982016422086836,0.03896189888178399,0.021327287127513857,0.009731886154241334,0.0045111183828865165,0.028921507921187754,0.026610496216866484,0.022764075128054603,0.041110999778468604,0.03212036138458379,0.02265061783380108,0.009140449764975356,0.027655583754597018,0.017759928786387817,0.04853040083615245,0.0026617801728718573,0.02234569001166541,0.013981589176512767,0.023161598125867613,0.008832279430666725
Folk,307.8421052631579,44985.57894736842,129563.36842105263,2012.3157894736842,0.009139548416244949,0.021641798344869876,0.03621612340447421,0.0023033133450472325,0.06414334992784385,0.0003141971911732465,0.012811344097232249,0.006422588128422981,0.011321191342754522,0.034053999037575916,0.0031057390655267973,0.011864105266428254,0.008000526350883934,0.05747917513937438,0.01448115234707034,0.015161503023906023,0.11466896257862699,0.06638093651657258,0.01834964441645285,0.009312239085323309,0.00015436322091182366,0.015739045816998774,0.02991729599586648,0.003466426231395771,0.014201188692048342,0.011822338501104947,0.022046736707898827,0.001204837447616499,0.02554928758183313,0.03963331858397371,0.01120675142309764,0.054213391745353536,0.030917756723036392,0.02509162294051803,0.015218866856539804,0.02338000390493594,0.0193081844977061,0.003635863265070979,0.02395555931997114,0.006056561172178476,0.017414151082333417,0.005940358277949937,0.02550066614614727,0.004465593689419998,0.008688623284711986,0.01321329299424293,0.00910725190072266,0.003577700074126762,0.010075986532702001,0.00812553836378226
Hip-Hop,417.73728813559325,40199.93220338983,100414.27118644067,2009.084745762712,0.01627967696362658,0.042592483705827924,0.049654011823506726,0.005940731114228643,0.014484556515970982,0.0030017200609999736,0.02286034317933029,0.022618067461253093,0.004617861386708298,0.08427388425304964,0.017162689490596485,0.013326445733236993,0.007381650425929983,0.01145830256494672,0.004851944551629491,0.019711757280627438,0.03979551848463832,0.011420867028823332,0.018373799844197253,0.007651558634289346,0.0017143665388919436,0.01243969828056707,0.03444803038699341,0.007177224335982601,0.016002819444900146,0.024133851651541034,0.011285483171471036,0.04978328146359049,0.005449064201398398,0.030151670682038122,0.03389579957403735,0.020143541871844448,0.01354388413963979,0.0007289066804515533,0.005689345465670023,0.015239940164199108,0.011042078962288503,0.005787369019258171,0.043009644403709704,0.034861188445477274,0.05368424044224457,0.009117919638993425,0.028434742739223706,0.0071144137579143745,0.00017971977249003153,0.0075426833047730416,0.0508200614719179,0.005220191202893646,0.031067018212589583,0.012833950069592079
Indie,476.2469879518072,47908.1686746988,124367.76506024097,2012.9036144578313,0.019556575896135967,0.030083519294079254,0.049695008779449705,0.005857620709208616,0.01807812342707502,0.005694586626776114,0.018642316200617536,0.028297239589373174,0.00875029318102836,0.025983654991868593,0.012591593876184548,0.017426532967423313,0.022239824807993736,0.020217796244760684,0.007265101937594616,0.01493933422698588,0.030898148489158277,0.005758745196907355,0.011513302599796774,0.025284618373127985,0.0004989291826891986,0.00810285676377761,0.018420262078596754,0.009835573767250912,0.018129319097750216,0.018975061000770527,0.026855715877376913,0.06401884415092966,0.008977034438804635,0.02003977867929374,0.04830511283913914,0.01747763870135477,0.011602181820420976,0.0005785036575788877,0.008543874934289424,0.01759256323566225,0.014291918493621214,0.005750064633220134,0.05465073896325368,0.018181055575802806,0.06030110813734834,0.00823875882549621,0.037234768884564076,0.012890799435639632,0.017731774319806177,0.0014840348261400556,0.018868541994109308,0.007644042748511616,0.01766753771070137,0.04833766781055429
Jazz,650.2,52122.48,101032.56,2005.72,0.01803519678394043,0.023225471684254918,0.07747682444839872,0.007263847382584267,0.0023640295432913083,0.0005116364765027704,0.015079697802667012,0.01930465926390075,0.009632157376783445,0.11939033302648099,0.0071028113224251375,0.014200958220814606,0.01491497171550376,0.025396219101907924,0.005106536511750815,0.028731230773724685,0.018715590609364022,0.0130766382041983,0.016662882153637728,0.001953993114504312,0.00014431562563506494,0.007850286247875968,0.05524984249226028,0.00986615396735554,0.062458453576875635,0.007214859489917538,0.0067164666418261946,0.0012728985437935728,0.003985705443937972,0.06881338970896739,0.00855425290736997,0.03029548766906519,0.014578682158496727,0.00018731598137108142,0.012469578048647392,0.011680026056775102,0.0032803153386449448,0.0020021577300630257,0.06271989332536589,0.04365923946686281,0.03397098895045459,0.00199320320270527,0.014365172128922143,0.002623826878321128,0.00015613372061157486,0.000346024603940579,0.054484521074561094,0.00703535346337302,0.023795615190412452,0.010084154848954998
Metal,541.0454545454545,47210.704545454544,124823.25,2007.7954545454545,0.020897338719397262,0.026936846300044715,0.02797448850486097,0.001520786655504277,0.004875875023501666,0.0003172025116324861,0.014595244293103367,0.011035831585796775,0.008081240737388444,0.0909111723567987,0.009966431768474851,0.0278963264573644,0.00390593483565298,0.02683167192033005,0.003783232363122903,0.021111283308702447,0.09587477286177859,0.006506609442029527,0.012102355503421367,0.013806334216273659,0.00015583971707090174,0.01555111131804015,0.0682307199042204,0.01102337327394038,0.06839888951053402,0.005794591704674723,0.02778232943375676,0.006053042661798366,0.0009069218342257645,0.041096138434956214,0.0035177896776335347,0.024287066856398278,0.020439580866208933,0.0008117606158995947,0.0013224139846471005,0.033378705696085836,0.009341092455257438,0.003373073541686171,0.04500568266164761,0.03510777330301591,0.011637297395276245,0.011328235764254456,0.021022163347553992,0.026220125395197465,0.00016860152695359306,0.00037365584038717177,0.016990818351201625,0.0041623417687144575,0.039999973325323984,0.01758791046825945
Other,481.61538461538464,32225.10769230769,110972.72307692308,2014.876923076923,0.014760928255668933,0.03912804449214075,0.03448233430513152,0.007550342784886565,0.007123114841191166,0.0003105688465053042,0.016561658144926203,0.03817824307626568,0.0036626319654791853,0.019973055154415616,0.008268477957383757,0.02282062858519465,0.047970858357582455,0.009966885025555608,0.014877868849789375,0.011150836969350032,0.06960458595756584,0.008285323010413088,0.005986085311745401,0.02308758055917097,0.00012422736120400068,0.008364980310689133,0.03697195372030887,0.01342928803014543,0.034235815621508424,0.012264560448076306,0.14146746135112567,0.018095363003760915,0.004867934827503726,0.03809701036103768,0.03842191889223822,0.02843932529388328,0.007417620811184959,0.0003034750736458644,0.002514823970882187,0.022268105669542293,0.01537797220114568,0.0012318977611240262,0.037086304819883086,0.03319146371231389,0.018514681774092902,0.007917041648193924,0.009552185525033213,0.018650271708803973,0.000761286803107633,0.00035578782460753914,0.015950267086924312,0.005687212919420882,0.014147835154049868,0.010541873864200059
Pop,690.4556962025316,42374.72784810127,96055.46202531646,2006.3417721518988,0.019252900881148553,0.020154424474670442,0.025410031084021883,0.010375562277206827,0.016666053598163925,0.001158821368790099,0.018099449359295618,0.05805804355180087,0.008929841181862085,0.01955589387146631,0.0140420581197457,0.024996951637691743,0.04206493026392934,0.010420448697782927,0.00880077052660657,0.017365756131345906,0.08379064588029611,0.009969771339065651,0.015364274219337845,0.017685848158046715,0.00039780095148283937,0.0067792213639528845,0.020168162178088124,0.007998927814945765,0.04966707423316097,0.015264273645429966,0.07034902186228383,0.011159069757307722,0.0097206238444512,0.026081339699686144,0.016007355097549796,0.014266674098799463,0.012857725117338169,0.0007585820496839149,0.009948021568317696,0.02171296130047423,0.016209494071153994,0.012782245871913516,0.0533138221455562,0.020694128668588743,0.02100337351590835,0.013929019541099418,0.022657727527522417,0.018531075535928584,0.0015320750986839062,0.006663376330323762,0.021584863968677797,0.01096589260973931,0.026145752526627077,0.018687841383049138
R&B,712.3272727272728,54477.36363636364,127156.47272727273,2008.2363636363636,0.01451716291302349,0.016812378263415095,0.03491143221051767,0.011819393836275737,0.02283613171805764,0.0014496508887858134,0.016658559088011244,0.02313736219915249,0.012152365135256697,0.0435396946395784,0.016847515730208356,0.02434809747616969,0.012668783904695752,0.013602257587150253,0.008118014276399948,0.043397462810231914,0.010395223674886777,0.009656930347749696,0.0074419240789437785,0.02138016742546313,0.00263893403922557,0.021701187150689458,0.02500241773161694,0.01254240576327809,0.014160561257633262,0.013062503512214042,0.013028265818711185,0.006086820290435213,0.01410921356487446,0.018213731900519486,0.005025039196631005,0.03954290566044174,0.018599239826389415,0.0002084048661742301,0.017173522670265166,0.017010868517871987,0.023423531546918248,0.010223607403710162,0.040430015882988786,0.044019347355335234,0.07483741754664701,0.00826468032190749,0.03601690770658153,0.020485198139456748,0.00026812452170827907,0.00038498162703142673,0.027597344505076313,0.01931860189989667,0.013609524221462267,0.07732418735033506
